id,name,contact_phone,email,guardian_name,guardian_phone,skills_qualifications,disability_type,disability_subcategory,age,nationality,trainings_acquired,area_of_interest,current_status,institution_or_employer,suggested_suitability,aptitude_score_percent,aptitude_category,IQ_level
149,Amelia Allen,971580413797,amelia.allen.149@example.com,Noah Williams,971527000000,"Admin assistance, Gardening",Hearing,Hard of hearing,26,Jordanian,,Administration,Working,Gulf Vocational Center,"Visual roles (data entry, graphic design)",78,Good,103
150,Majid Al Ali,971586291279,majid.al.ali.150@example.com,Farah Mohan,971561000000,"Assembly & packing, Kitchen assistant, Customer support",Speech,Speech impairment,59,Filipino,"Sign language (advanced), Online freelancing (Upwork), Warehouse operations",Manufacturing,Vocational training,Not currently enrolled or employed,Graphic design/creative roles,77,Good,107
151,Anoop Nair,971547314986,anoop.nair.151@example.com,Ahmed Al Rumaithi,971581000000,"Assembly & packing, Kitchen assistant",Learning,Dyslexia / learning difficulty,29,Egyptian,,Retail,Working,Company C (IT services),Supervised admin tasks,52,Average,93
152,Latifa Al Falasi,971565946368,latifa.al.falasi.152@example.com,Maya Nair,971549000000,"IT support, Bookkeeping, Admin assistance",Speech,Speech impairment,41,Jordanian,Hospitality training,Administration,Working,Community College Sharjah,Graphic design/creative roles,76,Good,107
153,Rahul Thomas,971502601279,rahul.thomas.153@example.com,Fatima Al Mansoori,971525000000,"Customer support, Accounting basics, Sales support",Learning,Dyslexia / learning difficulty,49,Indian,"Basic IT (MS Office), Sign language (basic), Soft skills & communication",Handicrafts & Art,Studying,Company C (IT services),Hands-on vocational work,64,Average,101
154,Arjun Balakrishnan,971520530214,arjun.balakrishnan.154@example.com,Priya Menon,971557000000,"Gardening, Kitchen assistant, Tailoring",Autism,Autism Spectrum Disorder - High support,34,Jordanian,"Sign language (advanced), Sign language (basic)",Customer Service,Freelance,Not currently enrolled or employed,Supported workplace with routine,84,Good,92
155,Hamad Al Falasi,971561818451,hamad.al.falasi.155@example.com,Ethan Hall,971529000000,"Admin assistance, Gardening",Speech,Speech impairment,37,Other,,Customer Service,Studying,Higher Learning Dubai,IT & digital work,73,Good,97
156,Arjun Menon,971583565880,arjun.menon.156@example.com,Sanjay Raj,971542000000,"Social media management, Accounting basics, Handicrafts",Hearing,Deaf,38,Emirati,"Sign language (basic), Sign language (advanced), Special education support",Creative/Design,Working,Online training - Coursera,"Visual roles (data entry, graphic design)",61,Average,113
157,Amelia Taylor,971521117908,amelia.taylor.157@example.com,Mia Taylor,971566000000,"Web development, Customer support, Content writing",Hearing,Hard of hearing,41,Emirati,"Online freelancing (Upwork), Life skills & mobility training, Advanced IT (Web dev)",Logistics & Warehouse,Working,Freelance / Self-employed,"Visual roles (data entry, graphic design)",77,Good,109
158,Ravi Thomas,971567500369,ravi.thomas.158@example.com,Zainab Al Qubaisi,971524000000,"Assembly & packing, Handicrafts",Autism,Autism Spectrum Disorder - Low support,37,Indian,"Retail operations, Project-based training (3 months), Warehouse operations",Handicrafts & Art,Working,Company C (IT services),"IT & structured tasks (data, QA)",84,Good,100
159,Olivia Brown,971584386632,olivia.brown.159@example.com,Noah Clark,971520000000,"Social media management, Transcription",Mental Health,Chronic mental health condition,36,Syrian,,Education Support,Studying,Gulf Vocational Center,Flexible hours roles (remote work),75,Good,96
160,Hessa Al Shamsi,971521754558,hessa.al.shamsi.160@example.com,Ibrahim Patel,971541000000,Retail cashier,Autism,Autism Spectrum Disorder - Low support,57,Filipino,"Barista & cafe skills, Soft skills & communication",Customer Service,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,69,Average,98
161,Lucas Allen,971547225699,lucas.allen.161@example.com,Fatima Al Hosani,971525000000,"Kitchen assistant, Gardening",Learning,Dyslexia / learning difficulty,41,Indian,"Mobile phone repair, Vocational tailoring, Special education support",Creative/Design,Studying,Not currently enrolled or employed,Roles with assistive tech (auditory support),66,Average,107
162,Asha Thomas,971581326111,asha.thomas.162@example.com,Mia Hall,971501000000,"Retail cashier, Bookkeeping",Visual,Low vision,21,Filipino,Bookkeeping,Customer Service,Vocational training,Gulf Vocational Center,IT roles with screen-reader support,52,Average,125
163,Liam Smith,971585577848,liam.smith.163@example.com,Latifa Al Muhairi,971570000000,Admin assistance,Hearing,Deaf,46,Pakistani,"Retail operations, Mobile phone repair",Handicrafts & Art,Studying,Technical College Abu Dhabi,"Visual roles (data entry, graphic design)",49,Below Average,85
164,Ibrahim Nair,971544780774,ibrahim.nair.164@example.com,Yusuf Al Mansoori,971563000000,"Security, Tailoring, Bookkeeping",Intellectual,Mild intellectual disability,41,Emirati,"Graphic design, Mobile phone repair",Sales & Marketing,Studying,Company C (IT services),Hospitality support roles with routines,82,Good,109
165,Sanjay Menon,971588463122,sanjay.menon.165@example.com,Sara Al Qubaisi,971555000000,Retail cashier,Physical,Mobility impairment (wheelchair user),50,Emirati,"Customer service, CNC basics",Accounting/Finance,Studying,Higher Learning Dubai,"Remote/desk roles (customer support, data entry)",74,Good,107
166,Khalid Al Blooshi,971554757051,khalid.al.blooshi.166@example.com,Noah Smith,971546000000,Bookkeeping,Multiple,Multiple disabilities,40,Bangladeshi,"CNC basics, Sign language (advanced), Advanced IT (Web dev)",Administration,Working,Higher Learning Dubai,Customized supported employment plan,64,Average,89
167,Arjun Cherian,971554520881,arjun.cherian.167@example.com,Noor Al Neyadi,971540000000,"Bookkeeping, Data entry",Visual,Low vision,33,Filipino,,Agriculture/Gardening,Unemployed,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",66,Average,91
168,Neha Varma,971521327195,neha.varma.168@example.com,Liam Smith,971543000000,"Handicrafts, Data entry",Autism,Autism Spectrum Disorder - High support,57,Jordanian,"Retail operations, Customer service, Data entry",Technical Repair,Studying,Not currently enrolled or employed,Creative/design with clear briefs,79,Good,98
169,Kamal Thomas,971553928557,kamal.thomas.169@example.com,Mariam Al Ali,971522000000,"Content writing, Security, Accounting basics",Hearing,Deaf,45,Emirati,,Agriculture/Gardening,Unemployed,Not currently enrolled or employed,Back-office admin roles,52,Average,96
170,Fatima Al Hammadi,971566387829,fatima.al.hammadi.170@example.com,Yusuf Al Hammadi,971541000000,"Handicrafts, IT support",Multiple,Multiple disabilities,18,Emirati,,Agriculture/Gardening,Vocational training,Private School Abu Dhabi,Customized supported employment plan,71,Good,93
171,Kamal Balakrishnan,971589405391,kamal.balakrishnan.171@example.com,Khalid Al Hammadi,971552000000,"Content writing, Customer support",Speech,Speech impairment,19,Bangladeshi,,Creative/Design,Working,Online training - Coursera,Graphic design/creative roles,52,Average,102
172,Salma Al Ali,971553383928,salma.al.ali.172@example.com,Anoop Thomas,971510000000,"Accounting basics, Transcription, Admin assistance",Autism,Autism Spectrum Disorder - High support,41,Pakistani,"Barista & cafe skills, Life skills & mobility training",Manufacturing,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,68,Average,93
173,Anoop Thomas,971549398368,anoop.thomas.173@example.com,Ethan Taylor,971558000000,"Data entry, Retail cashier",Autism,Autism Spectrum Disorder - High support,24,Other,Sign language (basic),Creative/Design,Working,Not currently enrolled or employed,Creative/design with clear briefs,57,Average,102
174,Mason Hall,971569210752,mason.hall.174@example.com,Zainab Al Qubaisi,971523000000,"Accounting basics, Sales support",Visual,Blind / no vision,20,Jordanian,,Agriculture/Gardening,Vocational training,Technical College Abu Dhabi,IT roles with screen-reader support,43,Below Average,83
175,Lucas Brown,971520556613,lucas.brown.175@example.com,Reema Balakrishnan,971506000000,"Bookkeeping, Web development, Customer support",Autism,Autism Spectrum Disorder - Low support,25,Indian,"CNC basics, Special education support, Soft skills & communication",Hospitality,Studying,Special Needs Centre Ras Al Khaimah,Creative/design with clear briefs,54,Average,97
176,Saeed Al Hosani,971559086416,saeed.al.hosani.176@example.com,Ibrahim Thomas,971523000000,"Content writing, Bookkeeping, Gardening",Visual,Blind / no vision,51,Filipino,,Handicrafts & Art,Unemployed,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",69,Average,117
177,Deepa Singh,971506655355,deepa.singh.177@example.com,Anjali Patel,971526000000,"Web development, Graphic design",Multiple,Multiple disabilities,30,Emirati,,Accounting/Finance,Studying,Company C (IT services),Customized supported employment plan,77,Good,98
178,Ethan Smith,971541477053,ethan.smith.178@example.com,Arjun Raj,971568000000,"Customer support, Social media management, Accounting basics",Intellectual,Mild intellectual disability,53,American,,Handicrafts & Art,Studying,Not currently enrolled or employed,Hospitality support roles with routines,64,Average,87
179,Sara Al Hammadi,971501645104,sara.al.hammadi.179@example.com,Lucas Williams,971558000000,"Transcription, Data entry",Visual,Low vision,28,Pakistani,,Administration,Freelance,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",64,Average,96
180,Huda Al Rumaithi,971520555438,huda.al.rumaithi.180@example.com,Mohammed Al Hammadi,971546000000,"Security, Content writing, Bookkeeping",Intellectual,Mild intellectual disability,58,Emirati,"Sign language (advanced), Special education support, Customer service",Education Support,Freelance,Not currently enrolled or employed,Hospitality support roles with routines,69,Average,90
181,Latifa Al Muhairi,971522983248,latifa.al.muhairi.181@example.com,Lucas Johnson,971589000000,Data entry,Visual,Low vision,36,Bangladeshi,"Mobile phone repair, Project-based training (3 months)",Handicrafts & Art,Working,Freelance / Self-employed,IT roles with screen-reader support,72,Good,118
182,Khalid Al Hosani,971522099499,khalid.al.hosani.182@example.com,Deepa Raj,971521000000,"Sales support, Tailoring",Intellectual,Moderate intellectual disability,57,Indian,Vocational tailoring,Administration,Studying,Private School Abu Dhabi,"Structured vocational roles (assembly, packaging)",63,Average,104
183,Lucas Williams,971583312797,lucas.williams.183@example.com,Reema Cherian,971527000000,"Customer support, Content writing, IT support",Autism,Autism Spectrum Disorder - Low support,52,Filipino,"CNC basics, Advanced IT (Web dev), Sign language (advanced)",Logistics & Warehouse,Working,Not currently enrolled or employed,"IT & structured tasks (data, QA)",75,Good,95
184,Kamal Menon,971503476447,kamal.menon.184@example.com,Noor Al Qubaisi,971508000000,"Transcription, Web development, Security",Visual,Low vision,53,Other,"Barista & cafe skills, CNC basics, Basic IT (MS Office)",Retail,Working,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",68,Average,100
185,Emma Jones,971542111751,emma.jones.185@example.com,Anoop Thomas,971529000000,"Web development, Accounting basics, Tailoring",Speech,Speech impairment,26,American,Advanced IT (Web dev),Education Support,Working,Not currently enrolled or employed,IT & digital work,66,Average,90
186,Hamad Al Hosani,971523094077,hamad.al.hosani.186@example.com,Mason Smith,971567000000,Bookkeeping,Intellectual,Moderate intellectual disability,21,Filipino,"Project-based training (3 months), Life skills & mobility training",Creative/Design,Unemployed,Not currently enrolled or employed,"Structured vocational roles (assembly, packaging)",65,Average,105
187,Mohammed Al Hammadi,971540209945,mohammed.al.hammadi.187@example.com,Liam Brown,971552000000,"Customer support, Graphic design",Visual,Low vision,45,Jordanian,"Barista & cafe skills, Retail operations",Technical Repair,Working,Higher Learning Dubai,"Tactile/vocational roles (tailoring, assembly)",86,Excellent,111
188,Emma Jones,971552145868,emma.jones.188@example.com,Khalid Al Qubaisi,971502000000,"Content writing, Gardening",Intellectual,Mild intellectual disability,54,British,"Customer service, Special education support",Customer Service,Working,Freelance / Self-employed,Supported employment with job coach,97,Excellent,90
189,Neha Balakrishnan,971524301071,neha.balakrishnan.189@example.com,Arjun Balakrishnan,971556000000,"Graphic design, Retail cashier",Learning,Dyslexia / learning difficulty,28,Egyptian,"Soft skills & communication, Life skills & mobility training",Manufacturing,Unemployed,Not currently enrolled or employed,Roles with assistive tech (auditory support),78,Good,102
190,Priya Reddy,971589902355,priya.reddy.190@example.com,Mia Clark,971520000000,Content writing,Intellectual,Moderate intellectual disability,42,Other,"Special education support, Barista & cafe skills",Logistics & Warehouse,Working,Online training - Coursera,Hospitality support roles with routines,97,Excellent,90
191,Ibrahim Varma,971502405682,ibrahim.varma.191@example.com,Anoop Nair,971561000000,"Handicrafts, Content writing",Intellectual,Moderate intellectual disability,31,Indian,"Vocational tailoring, Hospitality training",Manufacturing,Unemployed,Not currently enrolled or employed,"Structured vocational roles (assembly, packaging)",52,Average,92
192,Mia Hall,971507823578,mia.hall.192@example.com,Saeed Al Muhairi,971522000000,"Customer support, Graphic design",Mental Health,Chronic mental health condition,49,Emirati,"CNC basics, Advanced IT (Web dev)",Hospitality,Working,Freelance / Self-employed,Creative/artisan roles,33,Needs Support,93
193,Rashid Al Mansoori,971583533448,rashid.al.mansoori.193@example.com,Sara Al Hammadi,971504000000,"Kitchen assistant, Transcription, Warehouse assistant",Autism,Autism Spectrum Disorder - High support,48,Emirati,"Customer service, Bookkeeping",Agriculture/Gardening,Studying,Higher Learning Dubai,Creative/design with clear briefs,53,Average,101
194,Priya Mohan,971550207016,priya.mohan.194@example.com,Yusuf Al Falasi,971530000000,"Transcription, Graphic design, Admin assistance",Multiple,Multiple disabilities,28,Egyptian,Graphic design,Creative/Design,Unemployed,Not currently enrolled or employed,Customized supported employment plan,70,Good,122
195,Ravi Cherian,971547733294,ravi.cherian.195@example.com,Lucas Johnson,971586000000,Retail cashier,Physical,Limb loss / amputation,38,Indian,"Project-based training (3 months), Special education support",Retail,Working,Private School Abu Dhabi,Supervised workshop tasks,79,Good,93
196,Priya Mohan,971581487696,priya.mohan.196@example.com,Salma Al Ali,971528000000,"Transcription, Bookkeeping",Speech,Speech impairment,43,Pakistani,Graphic design,Accounting/Finance,Freelance,Not currently enrolled or employed,Graphic design/creative roles,51,Average,105
197,Emma Allen,971567581724,emma.allen.197@example.com,Emma Allen,971510000000,"Data entry, Web development, Gardening",Multiple,Multiple disabilities,24,American,"Life skills & mobility training, Bookkeeping, Warehouse operations",Agriculture/Gardening,Vocational training,Online training - Coursera,Customized supported employment plan,45,Below Average,121
198,Saeed Al Mansoori,971564651909,saeed.al.mansoori.198@example.com,Lucas Johnson,971524000000,"Data entry, Bookkeeping",Multiple,Multiple disabilities,38,Emirati,"Special education support, Warehouse operations, Barista & cafe skills",Accounting/Finance,Working,Private School Abu Dhabi,Customized supported employment plan,82,Good,94
199,Khalid Al Hammadi,971527238656,khalid.al.hammadi.199@example.com,Ali Al Muhairi,971501000000,"Tailoring, Assembly & packing",Visual,Low vision,57,Bangladeshi,CNC basics,Logistics & Warehouse,Working,Company A (Retail),"Tactile/vocational roles (tailoring, assembly)",39,Needs Support,116
200,Hamad Al Falasi,971560973846,hamad.al.falasi.200@example.com,Amelia Taylor,971501000000,"Content writing, Social media management, Admin assistance",Mental Health,Chronic mental health condition,21,Emirati,,Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Flexible hours roles (remote work),63,Average,114
201,Fatima Al Hammadi,971588949058,fatima.al.hammadi.201@example.com,Maya Cherian,971568000000,"Retail cashier, Gardening, Social media management",Visual,Low vision,18,Egyptian,,Sales & Marketing,Working,Gulf Vocational Center,IT roles with screen-reader support,41,Below Average,92
202,Noor Al Rumaithi,971560471281,noor.al.rumaithi.202@example.com,Ethan Jones,971529000000,"Admin assistance, Kitchen assistant, Accounting basics",Visual,Low vision,53,Jordanian,"Sign language (advanced), Online freelancing (Upwork)",Retail,Unemployed,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",65,Average,100
203,Fatima Al Muhairi,971562766372,fatima.al.muhairi.203@example.com,Zainab Al Mazroui,971584000000,"Bookkeeping, Security, Gardening",Hearing,Hard of hearing,46,Jordanian,"Data entry, Customer service, Soft skills & communication",Creative/Design,Working,Special Needs Centre Ras Al Khaimah,On-site assembly/packing,58,Average,107
204,Saeed Al Ali,971580185694,saeed.al.ali.204@example.com,Hessa Al Hosani,971550000000,Warehouse assistant,Hearing,Deaf,59,Egyptian,,Sales & Marketing,Studying,Higher Learning Dubai,"Visual roles (data entry, graphic design)",48,Below Average,98
205,Majid Al Hosani,971587534430,majid.al.hosani.205@example.com,Fatima Al Mazroui,971564000000,"Gardening, Accounting basics, IT support",Intellectual,Mild intellectual disability,58,Syrian,Data entry,Handicrafts & Art,Working,Higher Learning Dubai,Hospitality support roles with routines,66,Average,106
206,Sanjay Reddy,971585421406,sanjay.reddy.206@example.com,Mohammed Al Mansoori,971524000000,Web development,Intellectual,Mild intellectual disability,27,Filipino,"Sign language (basic), Hospitality training, CNC basics",Accounting/Finance,Working,Technical College Abu Dhabi,"Structured vocational roles (assembly, packaging)",75,Good,86
207,Hessa Al Shamsi,971507200642,hessa.al.shamsi.207@example.com,Farah Reddy,971561000000,"Sales support, IT support, Transcription",Autism,Autism Spectrum Disorder - High support,30,Emirati,"Barista & cafe skills, Bookkeeping",Education Support,Studying,Freelance / Self-employed,"IT & structured tasks (data, QA)",41,Below Average,115
208,Saeed Al Hosani,971527432806,saeed.al.hosani.208@example.com,Sanjay Thomas,971552000000,"Bookkeeping, Sales support, Security",Physical,Mobility impairment (wheelchair user),28,Emirati,,Data & Analytics,Working,Special Needs Centre Ras Al Khaimah,Accessible admin/IT roles,69,Average,91
209,Reema Cherian,971500505061,reema.cherian.209@example.com,Majid Al Shamsi,971588000000,"Customer support, Bookkeeping, Web development",Intellectual,Moderate intellectual disability,57,Emirati,,Retail,Vocational training,Special Needs Centre Ras Al Khaimah,"Structured vocational roles (assembly, packaging)",88,Excellent,101
210,Neha Balakrishnan,971501179931,neha.balakrishnan.210@example.com,Lucas Taylor,971527000000,"Accounting basics, Warehouse assistant, Graphic design",Multiple,Multiple disabilities,29,Syrian,,Handicrafts & Art,Studying,Private School Abu Dhabi,Customized supported employment plan,82,Good,100
211,Zainab Al Ali,971527390219,zainab.al.ali.211@example.com,Hamad Al Mazroui,971551000000,"Web development, Handicrafts",Intellectual,Mild intellectual disability,60,Bangladeshi,Data entry,Logistics & Warehouse,Working,Online training - Coursera,"Structured vocational roles (assembly, packaging)",95,Excellent,121
212,Anjali Balakrishnan,971527914560,anjali.balakrishnan.212@example.com,Arjun Singh,971562000000,"Customer support, Handicrafts",Speech,Speech impairment,56,Filipino,,Data & Analytics,Studying,Company A (Retail),IT & digital work,61,Average,111
213,Mohammed Al Mazroui,971585436459,mohammed.al.mazroui.213@example.com,Mia Smith,971501000000,"Admin assistance, Gardening, Warehouse assistant",Physical,Limb loss / amputation,20,American,"Sign language (basic), Barista & cafe skills, Sign language (advanced)",Data & Analytics,Studying,Online training - Coursera,"Remote/desk roles (customer support, data entry)",74,Good,116
214,Yusuf Al Neyadi,971553179706,yusuf.al.neyadi.214@example.com,Mariam Al Shamsi,971527000000,"Gardening, Customer support, Social media management",Visual,Blind / no vision,37,Emirati,Hospitality training,Creative/Design,Working,Private School Abu Dhabi,"Audio-based roles (call center, voice transcription)",50,Average,108
215,Arjun Patel,971562929831,arjun.patel.215@example.com,Majid Al Shamsi,971524000000,"Gardening, Bookkeeping",Mental Health,Chronic mental health condition,31,Emirati,Special education support,Technical Repair,Studying,Technical College Abu Dhabi,Flexible hours roles (remote work),80,Good,78
216,Mason Smith,971558671773,mason.smith.216@example.com,Ahmed Al Rumaithi,971586000000,Admin assistance,Physical,Mobility impairment (wheelchair user),46,Egyptian,,Customer Service,Working,Gulf Vocational Center,Supervised workshop tasks,47,Below Average,75
217,Zainab Al Hammadi,971550165804,zainab.al.hammadi.217@example.com,Hessa Al Rumaithi,971569000000,IT support,Autism,Autism Spectrum Disorder - High support,59,Indian,"Retail operations, CNC basics, Advanced IT (Web dev)",Manufacturing,Working,Freelance / Self-employed,Supported workplace with routine,60,Average,108
218,Kamal Thomas,971523253817,kamal.thomas.218@example.com,Ibrahim Balakrishnan,971523000000,"Admin assistance, Sales support",Hearing,Hard of hearing,19,Emirati,,Customer Service,Unemployed,Not currently enrolled or employed,Back-office admin roles,87,Excellent,100
219,Ethan Clark,971565137116,ethan.clark.219@example.com,Ethan Brown,971502000000,"Transcription, Web development",Autism,Autism Spectrum Disorder - High support,56,Emirati,"Retail operations, Mobile phone repair, CNC basics",Accounting/Finance,Vocational training,Special Needs Centre Ras Al Khaimah,"IT & structured tasks (data, QA)",89,Excellent,83
220,Salma Al Ali,971585695579,salma.al.ali.220@example.com,Kamal Mohan,971557000000,"Customer support, Web development",Visual,Blind / no vision,46,Indian,"Bookkeeping, CNC basics",Retail,Vocational training,Gulf Vocational Center,IT roles with screen-reader support,39,Needs Support,99
221,Neha Nair,971522231059,neha.nair.221@example.com,Hessa Al Blooshi,971524000000,"Retail cashier, IT support, Data entry",Intellectual,Moderate intellectual disability,50,Other,"Online freelancing (Upwork), Customer service, CNC basics",Technical Repair,Working,Technical College Abu Dhabi,Hospitality support roles with routines,70,Good,99
222,Kamal Varma,971584749297,kamal.varma.222@example.com,Aisha Al Rumaithi,971550000000,Warehouse assistant,Autism,Autism Spectrum Disorder - Low support,30,Indian,,Agriculture/Gardening,Vocational training,Company C (IT services),Supported workplace with routine,33,Needs Support,98
223,Hessa Al Neyadi,971501871863,hessa.al.neyadi.223@example.com,Deepa Balakrishnan,971561000000,"Retail cashier, Admin assistance",Hearing,Deaf,16,Indian,,Administration,Unemployed,Not currently enrolled or employed,On-site assembly/packing,45,Below Average,108
224,Anoop Cherian,971542662991,anoop.cherian.224@example.com,Noor Al Shamsi,971529000000,"Accounting basics, Transcription",Intellectual,Mild intellectual disability,56,American,"Special education support, Customer service, Sign language (basic)",Retail,Unemployed,Not currently enrolled or employed,Supported employment with job coach,70,Good,88
225,Anjali Patel,971529478730,anjali.patel.225@example.com,Neha Patel,971547000000,"Graphic design, Kitchen assistant",Physical,Mobility impairment (wheelchair user),23,Syrian,"Special education support, Mobile phone repair, Data entry",Sales & Marketing,Vocational training,Not currently enrolled or employed,"Remote/desk roles (customer support, data entry)",57,Average,87
226,Rashid Al Mazroui,971524290257,rashid.al.mazroui.226@example.com,Noah Taylor,971520000000,Content writing,Hearing,Hard of hearing,49,Filipino,Vocational tailoring,Data & Analytics,Studying,Gulf Vocational Center,Back-office admin roles,64,Average,111
227,Saeed Al Hammadi,971524451895,saeed.al.hammadi.227@example.com,Liam Johnson,971565000000,Transcription,Visual,Blind / no vision,25,Pakistani,,Education Support,Working,Higher Learning Dubai,"Audio-based roles (call center, voice transcription)",50,Average,106
228,Liam Clark,971544527985,liam.clark.228@example.com,Noor Al Mazroui,971581000000,"IT support, Graphic design",Visual,Blind / no vision,24,Other,,Data & Analytics,Working,Private School Abu Dhabi,"Audio-based roles (call center, voice transcription)",57,Average,90
229,Mohammed Al Hammadi,971569071401,mohammed.al.hammadi.229@example.com,Ahmed Al Hosani,971522000000,"Social media management, Gardening, Kitchen assistant",Physical,Mobility impairment (wheelchair user),21,Emirati,"Vocational tailoring, Soft skills & communication",Data & Analytics,Unemployed,Not currently enrolled or employed,"Remote/desk roles (customer support, data entry)",63,Average,87
230,Ravi Singh,971529083342,ravi.singh.230@example.com,Mason Smith,971581000000,Kitchen assistant,Intellectual,Moderate intellectual disability,59,Other,"Mobile phone repair, Sign language (basic), Soft skills & communication",Administration,Working,Community College Sharjah,"Structured vocational roles (assembly, packaging)",56,Average,85
231,Kamal Nair,971555480157,kamal.nair.231@example.com,Noor Al Shamsi,971565000000,"Kitchen assistant, Accounting basics",Visual,Blind / no vision,20,American,,Sales & Marketing,Working,Higher Learning Dubai,"Tactile/vocational roles (tailoring, assembly)",94,Excellent,100
232,Fatima Al Hosani,971526691215,fatima.al.hosani.232@example.com,Sophia Williams,971566000000,"Security, Kitchen assistant, Sales support",Autism,Autism Spectrum Disorder - Low support,33,Jordanian,"Online freelancing (Upwork), Soft skills & communication, Data entry",Retail,Unemployed,Not currently enrolled or employed,"IT & structured tasks (data, QA)",54,Average,102
233,Omar Al Shamsi,971522010170,omar.al.shamsi.233@example.com,Lucas Allen,971585000000,"Handicrafts, Retail cashier",Learning,Dyslexia / learning difficulty,49,Syrian,"Online freelancing (Upwork), Soft skills & communication, Data entry",Logistics & Warehouse,Working,Company B (Hospitality),Hands-on vocational work,63,Average,97
234,Mohammed Al Falasi,971506756770,mohammed.al.falasi.234@example.com,Latifa Al Hammadi,971524000000,"Transcription, Tailoring",Intellectual,Moderate intellectual disability,23,Pakistani,"Online freelancing (Upwork), Life skills & mobility training, Vocational tailoring",Logistics & Warehouse,Studying,Special Needs Centre Ras Al Khaimah,Supported employment with job coach,74,Good,109
235,Anoop Balakrishnan,971585450090,anoop.balakrishnan.235@example.com,Zainab Al Blooshi,971529000000,"Bookkeeping, Tailoring, Gardening",Hearing,Deaf,42,Indian,"Special education support, Graphic design",Technical Repair,Vocational training,Special Needs Centre Ras Al Khaimah,"Visual roles (data entry, graphic design)",57,Average,93
236,Ahmed Al Ali,971540769864,ahmed.al.ali.236@example.com,Omar Al Qubaisi,971506000000,"Handicrafts, Warehouse assistant, Sales support",Speech,Speech impairment,47,Emirati,"Vocational tailoring, Bookkeeping",Manufacturing,Freelance,Not currently enrolled or employed,"Back-office roles (data entry, admin)",60,Average,72
237,Reema Singh,971528344049,reema.singh.237@example.com,Salma Al Qubaisi,971582000000,Kitchen assistant,Autism,Autism Spectrum Disorder - Low support,49,Indian,,Sales & Marketing,Unemployed,Not currently enrolled or employed,Supported workplace with routine,42,Below Average,116
238,Lucas Hall,971543664987,lucas.hall.238@example.com,Kamal Nair,971508000000,"Gardening, Customer support",Learning,Dyslexia / learning difficulty,50,Bangladeshi,Retail operations,Customer Service,Studying,Gulf Vocational Center,Hands-on vocational work,89,Excellent,97
239,Sanjay Reddy,971555136442,sanjay.reddy.239@example.com,Mariam Al Neyadi,971553000000,"Assembly & packing, Customer support",Intellectual,Moderate intellectual disability,47,Pakistani,Vocational tailoring,Handicrafts & Art,Studying,Special Needs Centre Ras Al Khaimah,Supported employment with job coach,73,Good,103
240,Neha Menon,971520700159,neha.menon.240@example.com,Fatima Al Falasi,971542000000,"Content writing, Social media management, Sales support",Physical,Limb loss / amputation,49,Egyptian,,Administration,Vocational training,Community College Sharjah,Accessible admin/IT roles,100,Excellent,113
241,Lucas Williams,971553212347,lucas.williams.241@example.com,Rashid Al Mazroui,971559000000,Kitchen assistant,Learning,Dyslexia / learning difficulty,31,Other,"Retail operations, Bookkeeping, Basic IT (MS Office)",Sales & Marketing,Freelance,Not currently enrolled or employed,Hands-on vocational work,63,Average,88
242,Mohammed Al Rumaithi,971523486451,mohammed.al.rumaithi.242@example.com,Arjun Cherian,971551000000,"Warehouse assistant, Assembly & packing, Customer support",Visual,Blind / no vision,26,American,"Graphic design, Online freelancing (Upwork)",Customer Service,Unemployed,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",40,Below Average,102
243,Farah Singh,971522481569,farah.singh.243@example.com,Kamal Thomas,971547000000,"Gardening, Graphic design",Intellectual,Mild intellectual disability,28,Filipino,,Retail,Studying,Not currently enrolled or employed,Hospitality support roles with routines,53,Average,82
244,Reema Balakrishnan,971586577242,reema.balakrishnan.244@example.com,Reema Varma,971524000000,Transcription,Intellectual,Mild intellectual disability,52,Emirati,Graphic design,Customer Service,Studying,Not currently enrolled or employed,"Structured vocational roles (assembly, packaging)",55,Average,87
245,Mariam Al Falasi,971564215291,mariam.al.falasi.245@example.com,Majid Al Falasi,971528000000,"Handicrafts, Tailoring",Hearing,Hard of hearing,47,Indian,"Sign language (basic), Mobile phone repair",Retail,Working,Gulf Vocational Center,"Visual roles (data entry, graphic design)",90,Excellent,110
246,Hessa Al Neyadi,971567359710,hessa.al.neyadi.246@example.com,Reema Varma,971586000000,"Bookkeeping, Sales support",Physical,Limb loss / amputation,51,Emirati,"Project-based training (3 months), Advanced IT (Web dev)",IT & Digital,Working,Company C (IT services),Accessible admin/IT roles,64,Average,117
247,Huda Al Hammadi,971542809242,huda.al.hammadi.247@example.com,Farah Varma,971552000000,Sales support,Physical,Limb loss / amputation,36,Emirati,"Retail operations, Mobile phone repair",Handicrafts & Art,Freelance,Not currently enrolled or employed,Accessible admin/IT roles,66,Average,89
